SEX,AGE,ISO,ANNEE,TAUX_CHOMAGE
F,25-64,RS,2015,17.2
F,25-64,SE,2015,5.5
F,25-64,SI,2015,9.9
F,25-64,SK,2015,11.9
F,25-64,TR,2015,10.6
F,25-74,AT,2015,4.6
F,25-74,BE,2015,6.8
F,25-74,BG,2015,7.7
F,25-74,CH,2015,4.4
F,25-74,CY,2015,13.0
F,25-74,CZ,2015,5.5
F,25-74,DE,2015,4.0
F,25-74,DK,2015,5.7
F,25-74,EE,2015,5.8
F,25-74,GR,2015,27.2
F,25-74,ES,2015,21.8
F,25-74,FI,2015,7.2
F,25-74,FR,2015,8.6
F,25-74,HR,2015,14.9
F,25-74,HU,2015,6.4
F,25-74,IE,2015,7.9
F,25-74,IS,2015,3.5
F,25-74,IT,2015,10.9
F,25-74,LT,2015,7.5
F,25-74,LU,2015,6.6
F,25-74,LV,2015,8.2
F,25-74,ME,2015,15.6
F,25-74,MK,2015,23.3
F,25-74,MT,2015,4.5
F,25-74,NL,2015,6.5
F,25-74,NO,2015,3.3
F,25-74,PL,2015,6.7
F,25-74,PT,2015,11.1
F,25-74,RO,2015,4.6
F,25-74,RS,2015,16.9
F,25-74,SE,2015,5.4
F,25-74,SI,2015,9.7
F,25-74,SK,2015,11.9
F,25-74,TR,2015,10.4
F,30-34,AT,2015,6.8
F,30-34,BE,2015,9.4
F,30-34,BG,2015,8.6
F,30-34,CH,2015,5.3
F,30-34,CY,2015,12.7
F,30-34,CZ,2015,7.5
F,30-34,DE,2015,4.6
F,30-34,DK,2015,7.2
F,30-34,EE,2015,4.4
F,30-34,GR,2015,30.8
F,30-34,ES,2015,23.2
F,30-34,FI,2015,7.8
F,30-34,FR,2015,10.7
F,30-34,HR,2015,18.2
F,30-34,HU,2015,7.6
F,30-34,IE,2015,7.6
F,30-34,IS,2015,6.0
F,30-34,IT,2015,15.9
F,30-34,LT,2015,5.3
F,30-34,LU,2015,8.1
F,30-34,LV,2015,7.9
F,30-34,ME,2015,19.3
F,30-34,MK,2015,24.0
F,30-34,NL,2015,5.9
F,30-34,NO,2015,5.1
F,30-34,PL,2015,7.6
F,30-34,PT,2015,11.3
F,30-34,RO,2015,4.7
F,30-34,RS,2015,21.4
F,30-34,SE,2015,6.2
F,30-34,SI,2015,10.9
F,30-34,SK,2015,15.4
F,30-34,TR,2015,12.4
F,30-54,AT,2015,4.8
F,30-54,BE,2015,6.6
F,30-54,BG,2015,7.4
F,30-54,CH,2015,4.4
F,30-54,CY,2015,11.4
F,30-54,CZ,2015,5.5
F,30-54,DE,2015,3.9
F,30-54,DK,2015,5.4
F,30-54,EE,2015,5.7
F,30-54,GR,2015,26.8
F,30-54,ES,2015,21.6
